alpha,gamma,sigma,activation,minimized_quantity,lambda_opt
9.0,1.0,0.5,matching,loss_pb,0.07990386093253535
10.0,1.0,0.5,matching,loss_pb,0.07996989119453493
50.0,1.0,0.5,matching,loss_pb,0.07757164744851665
100.0,1.0,0.5,matching,loss_pb,0.06663114310368892
150.0,1.0,0.5,matching,loss_pb,0.04803947499998095
200.0,1.0,0.5,matching,loss_pb,0.02189505378759844
210.0,1.0,0.5,matching,loss_pb,0.015759186619080393
220.0,1.0,0.5,matching,loss_pb,0.009325135764089786
230.0,1.0,0.5,matching,loss_pb,0.00258973678387717

0.1,1.0,0.5,matching,error_pb,0.08025815977383459
0.5,1.0,0.5,matching,error_pb,0.07987877350553009
0.6,1.0,0.5,matching,error_pb,0.07977777545128548
1.0,1.0,0.5,matching,error_pb,0.07934371
1.5,1.0,0.5,matching,error_pb,0.07883197041784988
2.0,1.0,0.5,matching,error_pb,0.07836893
2.5,1.0,0.5,matching,error_pb,0.07800512
3.0,1.0,0.5,matching,error_pb,0.07773737
3.5,1.0,0.5,matching,error_pb,0.07757246
4.0,1.0,0.5,matching,error_pb,0.0775026
4.5,1.0,0.5,matching,error_pb,0.07751757
5.0,1.0,0.5,matching,error_pb,0.07760475
6.0,1.0,0.5,matching,error_pb,0.07788987
7.0,1.0,0.5,matching,error_pb,0.07832692
8.0,1.0,0.5,matching,error_pb,0.07885221
9.0,1.0,0.5,matching,error_pb,0.07946895
10.0,1.0,0.5,matching,error_pb,0.08015513
11.0,1.0,0.5,matching,error_pb,0.0808785
12.0,1.0,0.5,matching,error_pb,0.08162968
13.0,1.0,0.5,matching,error_pb,0.08239315
14.0,1.0,0.5,matching,error_pb,0.08312577
15.0,1.0,0.5,matching,error_pb,0.08390788
20.0,1.0,0.5,matching,error_pb,0.08790253
30.0,1.0,0.5,matching,error_pb,0.09604474
50.0,1.0,0.5,matching,error_pb,0.1117287399027673
150.0,1.0,0.5,matching,error_pb,0.17259311787008452
200.0,1.0,0.5,matching,error_pb,0.19134945449969912
250.0,1.0,0.5,matching,error_pb,0.20226504247515578
300.0,1.0,0.5,matching,error_pb,0.20532764903708978
350.0,1.0,0.5,matching,error_pb,0.20054087419519553
400.0,1.0,0.5,matching,error_pb,0.1878958597215875
