alpha,gamma,sigma,activation,error,lambda,logit,rho
0.37400831129580653,5.347474747474748,0.5,erf,error,0.20549318068999287,logit,1.0
0.3672106824925816,5.446464646464647,0.5,erf,error,0.20758492478278454,logit,1.0
0.36065573770491793,5.545454545454547,0.5,erf,error,0.20964949710044922,logit,1.0
0.35433070866141725,5.644444444444446,0.5,erf,error,0.2116875426646702,logit,1.0
0.3482237073513893,5.743434343434345,0.5,erf,error,0.21369949792638548,logit,1.0
0.3423236514522821,5.842424242424244,0.5,erf,error,0.21568556648321255,logit,1.0
0.3366201972118326,5.9414141414141435,0.5,erf,error,0.21764624977768404,logit,1.0
0.33110367892976583,6.0404040404040416,0.5,erf,error,0.21958191985931985,logit,1.0
0.3257650542941757,6.13939393939394,0.5,erf,error,0.2214936426158397,logit,1.0
0.3205958549222797,6.23838383838384,0.5,erf,error,0.22338050291301653,logit,1.0
0.3155881415364998,6.337373737373738,0.5,erf,error,0.2252435933274384,logit,1.0
0.3107344632768361,6.436363636363637,0.5,erf,error,0.22708330110491975,logit,1.0
0.3060278207109737,6.535353535353536,0.5,erf,error,0.22889998765648492,logit,1.0
0.3014616321559074,6.634343434343435,0.5,erf,error,0.23069409238813843,logit,1.0
0.29702970297029696,6.733333333333335,0.5,erf,error,0.23246598026350587,logit,1.0
0.29272619751626255,6.832323232323232,0.5,erf,error,0.23421596252802132,logit,1.0
0.28854561352375396,6.931313131313132,0.5,erf,error,0.2359444645566748,logit,1.0
0.2844827586206896,7.030303030303031,0.5,erf,error,0.23765188435320522,logit,1.0
0.2805327288183621,7.12929292929293,0.5,erf,error,0.23933843218517845,logit,1.0
0.27669088876467296,7.228282828282829,0.5,erf,error,0.24100476113795752,logit,1.0
0.27295285359801486,7.327272727272728,0.5,erf,error,0.24265076041430642,logit,1.0
0.2693144722524483,7.426262626262626,0.5,erf,error,0.24427699365040065,logit,1.0
0.2657718120805369,7.525252525252525,0.5,erf,error,0.24588423341161317,logit,1.0
0.2623211446740858,7.624242424242426,0.5,erf,error,0.24747198342521892,logit,1.0
0.2589589327753073,7.723232323232325,0.5,erf,error,0.24904104803137575,logit,1.0
0.2556818181818181,7.822222222222224,0.5,erf,error,0.2505917421950332,logit,1.0
0.25248661055853094,7.921212121212123,0.5,erf,error,0.2521242164898861,logit,1.0
0.24937027707808562,8.02020202020202,0.5,erf,error,0.25363888732781353,logit,1.0
0.24632993281910923,8.11919191919192,0.5,erf,error,0.2551359882100707,logit,1.0
0.24336283185840707,8.218181818181819,0.5,erf,error,0.2566158639957017,logit,1.0
0.2404663589992713,8.317171717171718,0.5,erf,error,0.25807876052505563,logit,1.0
0.23763802208353335,8.416161616161617,0.5,erf,error,0.25952511899023667,logit,1.0
0.23487544483985764,8.515151515151516,0.5,erf,error,0.2609551104903735,logit,1.0
0.2321763602251407,8.614141414141415,0.5,erf,error,0.2623686554623121,logit,1.0
0.2295386042198006,8.713131313131314,0.5,erf,error,0.26376642521598337,logit,1.0
0.22696011004126546,8.812121212121212,0.5,erf,error,0.2651486878743105,logit,1.0
0.22443890274314213,8.911111111111111,0.5,erf,error,0.26651551388940065,logit,1.0
0.2219730941704036,9.01010101010101,0.5,erf,error,0.2678672377636775,logit,1.0
0.21956087824351297,9.10909090909091,0.5,erf,error,0.2692041727819002,logit,1.0
0.21720052654673103,9.208080808080808,0.5,erf,error,0.270526293341161,logit,1.0
0.2148903841979596,9.307070707070707,0.5,erf,error,0.27183421432288374,logit,1.0
0.21262886597938144,9.406060606060606,0.5,erf,error,0.2731277445790044,logit,1.0
0.2104144527098831,9.505050505050505,0.5,erf,error,0.27440753412405755,logit,1.0
0.2082456878418174,9.604040404040404,0.5,erf,error,0.2756733252833198,logit,1.0
0.2061211742660837,9.703030303030303,0.5,erf,error,0.27692580296608676,logit,1.0
0.20403957131079967,9.802020202020202,0.5,erf,error,0.27816513774339596,logit,1.0
0.20199959192001632,9.901010101010101,0.5,erf,error,0.2793911881078213,logit,1.0
0.2,10.0,0.5,erf,error,0.28060428167341184,logit,1.0
